Series ID,Year,Period,Label,Value
LASST260000000000003,2020,M12,2020 Dec,7.0
LASST260000000000003,2021,M01,2021 Jan,6.5
LASST260000000000003,2021,M02,2021 Feb,6.4
LASST260000000000003,2021,M03,2021 Mar,6.2
LASST260000000000003,2021,M04,2021 Apr,6.2
LASST260000000000003,2021,M05,2021 May,6.2
LASST260000000000003,2021,M06,2021 Jun,6.2
LASST260000000000003,2021,M07,2021 Jul,6.2
LASST260000000000003,2021,M08,2021 Aug,5.9
LASST260000000000003,2021,M09,2021 Sep,5.6
LASST260000000000003,2021,M10,2021 Oct,5.3
LASST260000000000003,2021,M11,2021 Nov,4.9
LASST260000000000003,2021,M12,2021 Dec,4.6
LASST260000000000003,2022,M01,2022 Jan,4.4
LASST260000000000003,2022,M02,2022 Feb,4.2
LASST260000000000003,2022,M03,2022 Mar,4.1
LASST260000000000003,2022,M04,2022 Apr,4.0
LASST260000000000003,2022,M05,2022 May,4.0
LASST260000000000003,2022,M06,2022 Jun,4.0
LASST260000000000003,2022,M07,2022 Jul,4.1
LASST260000000000003,2022,M08,2022 Aug,4.3
LASST260000000000003,2022,M09,2022 Sep,4.3
LASST260000000000003,2022,M10,2022 Oct,4.4
LASST260000000000003,2022,M11,2022 Nov,4.4
LASST260000000000003,2022,M12,2022 Dec,4.3
LASST260000000000003,2023,M01,2023 Jan,4.3
LASST260000000000003,2023,M02,2023 Feb,4.3
LASST260000000000003,2023,M03,2023 Mar,4.1
LASST260000000000003,2023,M04,2023 Apr,3.8
LASST260000000000003,2023,M05,2023 May,3.7
LASST260000000000003,2023,M06,2023 Jun,3.6
LASST260000000000003,2023,M07,2023 Jul,3.6
LASST260000000000003,2023,M08,2023 Aug,3.7
LASST260000000000003,2023,M09,2023 Sep,3.9
LASST260000000000003,2023,M10,2023 Oct,4.1
LASST260000000000003,2023,M11,2023 Nov,4.3
LASST260000000000003,2023,M12,2023 Dec,4.3
LASST280000000000003,2018,M01,2018 Jan,4.9
LASST280000000000003,2018,M02,2018 Feb,4.9
LASST280000000000003,2018,M03,2018 Mar,4.9
LASST280000000000003,2018,M04,2018 Apr,4.9
LASST280000000000003,2018,M05,2018 May,4.9
LASST280000000000003,2018,M06,2018 Jun,4.8
LASST280000000000003,2018,M07,2018 Jul,4.8
LASST280000000000003,2018,M08,2018 Aug,4.9
LASST280000000000003,2018,M09,2018 Sep,4.9
LASST280000000000003,2018,M10,2018 Oct,5.1
LASST280000000000003,2018,M11,2018 Nov,5.2
LASST280000000000003,2018,M12,2018 Dec,5.3
LASST280000000000003,2019,M01,2019 Jan,5.4
LASST280000000000003,2019,M02,2019 Feb,5.4
LASST280000000000003,2019,M03,2019 Mar,5.4
LASST280000000000003,2019,M04,2019 Apr,5.4
LASST280000000000003,2019,M05,2019 May,5.4
LASST280000000000003,2019,M06,2019 Jun,5.5
LASST280000000000003,2019,M07,2019 Jul,5.6
LASST280000000000003,2019,M08,2019 Aug,5.7
LASST280000000000003,2019,M09,2019 Sep,5.7
LASST280000000000003,2019,M10,2019 Oct,5.6
LASST280000000000003,2019,M11,2019 Nov,5.6
LASST280000000000003,2019,M12,2019 Dec,5.6
LASST280000000000003,2020,M01,2020 Jan,5.6
LASST280000000000003,2020,M02,2020 Feb,5.8
LASST280000000000003,2020,M03,2020 Mar,5.9
LASST280000000000003,2020,M04,2020 Apr,15.6
LASST280000000000003,2020,M05,2020 May,11.2
LASST280000000000003,2020,M06,2020 Jun,9.4
LASST280000000000003,2020,M07,2020 Jul,8.3
LASST280000000000003,2020,M08,2020 Aug,7.5
LASST280000000000003,2020,M09,2020 Sep,7.1
LASST280000000000003,2020,M10,2020 Oct,6.9
LASST280000000000003,2020,M11,2020 Nov,6.7
LASST280000000000003,2020,M12,2020 Dec,6.6
LASST280000000000003,2021,M01,2021 Jan,6.5
LASST280000000000003,2021,M02,2021 Feb,6.4
LASST280000000000003,2021,M03,2021 Mar,6.2
LASST280000000000003,2021,M04,2021 Apr,6.1
LASST280000000000003,2021,M05,2021 May,5.9
LASST280000000000003,2021,M06,2021 Jun,5.7
LASST280000000000003,2021,M07,2021 Jul,5.5
LASST280000000000003,2021,M08,2021 Aug,5.2
LASST280000000000003,2021,M09,2021 Sep,5.0
LASST280000000000003,2021,M10,2021 Oct,4.7
LASST280000000000003,2021,M11,2021 Nov,4.5
LASST280000000000003,2021,M12,2021 Dec,4.3
LASST280000000000003,2022,M01,2022 Jan,4.1
LASST280000000000003,2022,M02,2022 Feb,4.0
LASST280000000000003,2022,M03,2022 Mar,3.8
LASST280000000000003,2022,M04,2022 Apr,3.7
LASST280000000000003,2022,M05,2022 May,3.7
LASST280000000000003,2022,M06,2022 Jun,3.7
LASST280000000000003,2022,M07,2022 Jul,3.8
LASST280000000000003,2022,M08,2022 Aug,3.9
LASST280000000000003,2022,M09,2022 Sep,4.0
LASST280000000000003,2022,M10,2022 Oct,4.1
LASST280000000000003,2022,M11,2022 Nov,4.1
LASST280000000000003,2022,M12,2022 Dec,4.0
LASST280000000000003,2023,M01,2023 Jan,3.9
LASST280000000000003,2023,M02,2023 Feb,3.7
LASST280000000000003,2023,M03,2023 Mar,3.5
LASST280000000000003,2023,M04,2023 Apr,3.4
LASST280000000000003,2023,M05,2023 May,3.2
LASST280000000000003,2023,M06,2023 Jun,3.1
LASST280000000000003,2023,M07,2023 Jul,3.0
LASST280000000000003,2023,M08,2023 Aug,3.2
LASST280000000000003,2023,M09,2023 Sep,3.2
LASST280000000000003,2023,M10,2023 Oct,3.3
LASST280000000000003,2023,M11,2023 Nov,3.3
LASST280000000000003,2023,M12,2023 Dec,3.3
LASST480000000000003,2018,M01,2018 Jan,4.1
LASST480000000000003,2018,M02,2018 Feb,4.0
LASST480000000000003,2018,M03,2018 Mar,4.0
LASST480000000000003,2018,M04,2018 Apr,4.0
LASST480000000000003,2018,M05,2018 May,3.9
LASST480000000000003,2018,M06,2018 Jun,3.9
LASST480000000000003,2018,M07,2018 Jul,3.9
LASST480000000000003,2018,M08,2018 Aug,3.8
LASST480000000000003,2018,M09,2018 Sep,3.8
LASST480000000000003,2018,M10,2018 Oct,3.8
LASST480000000000003,2018,M11,2018 Nov,3.8
LASST480000000000003,2018,M12,2018 Dec,3.8
LASST480000000000003,2019,M01,2019 Jan,3.7
LASST480000000000003,2019,M02,2019 Feb,3.6
LASST480000000000003,2019,M03,2019 Mar,3.6
LASST480000000000003,2019,M04,2019 Apr,3.5
LASST480000000000003,2019,M05,2019 May,3.4
LASST480000000000003,2019,M06,2019 Jun,3.4
LASST480000000000003,2019,M07,2019 Jul,3.5
LASST480000000000003,2019,M08,2019 Aug,3.5
LASST480000000000003,2019,M09,2019 Sep,3.6
LASST480000000000003,2019,M10,2019 Oct,3.5
LASST480000000000003,2019,M11,2019 Nov,3.5
LASST480000000000003,2019,M12,2019 Dec,3.5
LASST480000000000003,2020,M01,2020 Jan,3.5
LASST480000000000003,2020,M02,2020 Feb,3.6
LASST480000000000003,2020,M03,2020 Mar,5.0
LASST480000000000003,2020,M04,2020 Apr,12.8
LASST480000000000003,2020,M05,2020 May,11.6
LASST480000000000003,2020,M06,2020 Jun,10.1
LASST480000000000003,2020,M07,2020 Jul,9.3
LASST480000000000003,2020,M08,2020 Aug,8.1
LASST480000000000003,2020,M09,2020 Sep,7.7
LASST480000000000003,2020,M10,2020 Oct,7.1
LASST480000000000003,2020,M11,2020 Nov,7.0
LASST480000000000003,2020,M12,2020 Dec,6.9
LASST480000000000003,2021,M01,2021 Jan,6.7
LASST480000000000003,2021,M02,2021 Feb,6.6
LASST480000000000003,2021,M03,2021 Mar,6.4
LASST480000000000003,2021,M04,2021 Apr,6.2
LASST480000000000003,2021,M05,2021 May,5.9
LASST480000000000003,2021,M06,2021 Jun,5.8
LASST480000000000003,2021,M07,2021 Jul,5.6
LASST480000000000003,2021,M08,2021 Aug,5.4
LASST480000000000003,2021,M09,2021 Sep,5.1
LASST480000000000003,2021,M10,2021 Oct,4.9
LASST480000000000003,2021,M11,2021 Nov,4.7
LASST480000000000003,2021,M12,2021 Dec,4.5
LASST480000000000003,2022,M01,2022 Jan,4.3
LASST480000000000003,2022,M02,2022 Feb,4.1
LASST480000000000003,2022,M03,2022 Mar,3.9
LASST480000000000003,2022,M04,2022 Apr,3.8
LASST480000000000003,2022,M05,2022 May,3.8
LASST480000000000003,2022,M06,2022 Jun,3.8
LASST480000000000003,2022,M07,2022 Jul,3.8
LASST480000000000003,2022,M08,2022 Aug,3.7
LASST480000000000003,2022,M09,2022 Sep,3.8
LASST480000000000003,2022,M10,2022 Oct,3.9
LASST480000000000003,2022,M11,2022 Nov,3.8
LASST480000000000003,2022,M12,2022 Dec,3.8
LASST480000000000003,2023,M01,2023 Jan,3.9
LASST480000000000003,2023,M02,2023 Feb,4.0
LASST480000000000003,2023,M03,2023 Mar,4.0
LASST480000000000003,2023,M04,2023 Apr,4.0
LASST480000000000003,2023,M05,2023 May,4.1
LASST480000000000003,2023,M06,2023 Jun,4.1
LASST480000000000003,2023,M07,2023 Jul,4.1
LASST480000000000003,2023,M08,2023 Aug,4.1
LASST480000000000003,2023,M09,2023 Sep,4.1
LASST480000000000003,2023,M10,2023 Oct,4.1
LASST480000000000003,2023,M11,2023 Nov,4.1
LASST480000000000003,2023,M12,2023 Dec,4.0
